stage,strategy,name,return,win_rate,max_drawdown,worst_phase_drawdown,trades,profit_factor,mean_fees,unresolved,excess_return,information_ratio
train,low_vol_20,流动性低波动20,-0.12152812401935575,0.3789764868603043,-0.14882892589739483,-0.15527459233706575,723,0.5881116098385629,4662.295403705003,0,-0.15424860214889757,-1.1141100096968053
train,low_vol_60,流动性低波动60,-0.1405446725518169,0.36363636363636365,-0.17049855538589542,-0.18174479429508572,726,0.5296668181758906,4632.283771435708,0,-0.17326515068135873,-1.2305970258245322
train,momentum_20,风险调整动量20,-0.2531950232415473,0.4141689373297003,-0.32261690447097147,-0.38381512859472067,734,0.771604733597729,4492.705480276287,0,-0.2859155013710891,-1.87862990091655
train,momentum_60,风险调整动量60,-0.06342932353124897,0.44271570014144274,-0.3102815227992489,-0.3434895749836273,707,0.9530006909127734,5036.153045827505,0,-0.09614980166079079,-0.6585128808144209
train,reversal_3,趋势内三日反转,-0.22226019387642892,0.3965287049399199,-0.25033635186431613,-0.3177617401423112,749,0.7415078541825613,4802.949440025207,0,-0.25498067200597074,-2.062227094218518
train,reversal_5,趋势内五日反转,-0.10529718842004387,0.4409030544488712,-0.19201081672546116,-0.21038298852366333,753,0.8751351047403034,5089.589889526878,0,-0.1380176665495857,-1.061100691847433
train,low_vol_reversal,低波动三日回撤,-0.08129859636467107,0.43333333333333335,-0.17148227996931376,-0.21811096231867122,750,0.8875210776653181,4985.685891915103,0,-0.11401907449421289,-0.8451763496419105
train,breakout_20,二十日放量突破,-0.14029095966795035,0.42141863699582754,-0.19240529813461704,-0.3551842510752742,719,0.8838031213885565,4529.3856670673795,0,-0.17301143779749217,-1.108546258510952
train,liquidity,成交额基准,0.03272047812954182,0.4597315436241611,-0.23188025536570755,-0.24917272580969796,596,1.0422703253642882,4097.786681463871,0,0.0,0.0
validation,low_vol_20,流动性低波动20,-0.07122480722362134,0.3484848484848485,-0.07805924609549908,-0.08418703062627664,330,0.5609853249532497,2100.09062104833,0,0.015396190098548757,0.18486897035581748
validation,low_vol_60,流动性低波动60,-0.1053251204797585,0.3090909090909091,-0.10581734925116004,-0.11519898044695442,330,0.4136524870052473,2096.3134287041707,0,-0.018704123157588404,-0.40116729571154913
validation,momentum_20,风险调整动量20,0.025766001760940238,0.45222929936305734,-0.1389707553336922,-0.31529488992953403,314,1.048235437173232,2088.0635744504143,0,0.11238699908311034,1.1761844714298084
validation,momentum_60,风险调整动量60,0.019915372666666986,0.4869281045751634,-0.1152264616738552,-0.24151542176464602,306,1.0340046483689942,2047.7960666666665,0,0.10653636998883709,1.1728240431930956
validation,reversal_3,趋势内三日反转,-0.13040545426595407,0.3929712460063898,-0.16692580744817354,-0.2655114389872838,313,0.6962639538884454,2031.6770304513002,0,-0.04378445694378397,-0.7124815674924122
validation,reversal_5,趋势内五日反转,-0.09447231629999953,0.4228395061728395,-0.167434234886922,-0.24006064742267785,324,0.7654153121862703,2117.8982966666663,0,-0.007851318977829425,-0.1097129437741855
validation,low_vol_reversal,低波动三日回撤,-0.07839444433333342,0.42990654205607476,-0.1665124634641313,-0.27561938628194704,321,0.8023229714616009,2141.1111000000005,0,0.008226552988836677,0.1108263441487011
validation,breakout_20,二十日放量突破,-0.1991596678666664,0.38333333333333336,-0.25453197618368195,-0.32079178143523546,300,0.6914474185448061,1829.6334533333338,0,-0.11253867054449629,-1.1623855126230904
validation,liquidity,成交额基准,-0.0866209973221701,0.4396887159533074,-0.17329316914243453,-0.18643504718982207,257,0.7257956010548957,1562.7804571697259,0,0.0,0.0
